a88_code,a88_label,a38_code,a38_label,a17_code,a17_label,a10_code,a10_label,a5_code,a5_label
01,"Crop and animal production, hunting and related service activities",AZ,"Agriculture, forestry, and fisheries",AZ,"Agriculture, forestry, and fisheries",AZ,"Agriculture, forestry, and fisheries",AZ,"Agriculture, forestry, and fisheries"
02,Forestry and logging,AZ,"Agriculture, forestry, and fisheries",AZ,"Agriculture, forestry, and fisheries",AZ,"Agriculture, forestry, and fisheries",AZ,"Agriculture, forestry, and fisheries"
03,Fishing and aquaculture,AZ,"Agriculture, forestry, and fisheries",AZ,"Agriculture, forestry, and fisheries",AZ,"Agriculture, forestry, and fisheries",AZ,"Agriculture, forestry, and fisheries"
05,Mining of coal and lignite,BZ,Mining and quarrying,DE,Mining and quarrying; energy; water supply; waste management and remediation activities,BE,"Mining, quarrying and manufacturing",BE,"Mining, quarrying and manufacturing"
06,Extraction of crude petroleum and natural gas,BZ,Mining and quarrying,DE,Mining and quarrying; energy; water supply; waste management and remediation activities,BE,"Mining, quarrying and manufacturing",BE,"Mining, quarrying and manufacturing"
07,Mining of metal ores,BZ,Mining and quarrying,DE,Mining and quarrying; energy; water supply; waste management and remediation activities,BE,"Mining, quarrying and manufacturing",BE,"Mining, quarrying and manufacturing"
08,Other mining and quarrying,BZ,Mining and quarrying,DE,Mining and quarrying; energy; water supply; waste management and remediation activities,BE,"Mining, quarrying and manufacturing",BE,"Mining, quarrying and manufacturing"
09,Mining support service activities,BZ,Mining and quarrying,DE,Mining and quarrying; energy; water supply; waste management and remediation activities,BE,"Mining, quarrying and manufacturing",BE,"Mining, quarrying and manufacturing"
10,Manufacture of food products,CA,"Manufacture of food, beverages and tobacco",C1,"Manufacture of food, beverages and tobacco",BE,"Mining, quarrying and manufacturing",BE,"Mining, quarrying and manufacturing"
11,Manufacture of beverages,CA,"Manufacture of food, beverages and tobacco",C1,"Manufacture of food, beverages and tobacco",BE,"Mining, quarrying and manufacturing",BE,"Mining, quarrying and manufacturing"
12,Manufacture of tobacco products,CA,"Manufacture of food, beverages and tobacco",C1,"Manufacture of food, beverages and tobacco",BE,"Mining, quarrying and manufacturing",BE,"Mining, quarrying and manufacturing"
13,Manufacture of textiles,CB,"Manufacture of textiles, wearing apparel, leather and related products",C5,Manufacture of other industrial products,BE,"Mining, quarrying and manufacturing",BE,"Mining, quarrying and manufacturing"
14,Manufacture of wearing apparel,CB,"Manufacture of textiles, wearing apparel, leather and related products",C5,Manufacture of other industrial products,BE,"Mining, quarrying and manufacturing",BE,"Mining, quarrying and manufacturing"
15,Manufacture of leather and related products,CB,"Manufacture of textiles, wearing apparel, leather and related products",C5,Manufacture of other industrial products,BE,"Mining, quarrying and manufacturing",BE,"Mining, quarrying and manufacturing"
16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",CC,"Manufacture of wood; manufacture of pulp, paper and paperboard; printing",C5,Manufacture of other industrial products,BE,"Mining, quarrying and manufacturing",BE,"Mining, quarrying and manufacturing"
17,Manufacture of paper and paper products,CC,"Manufacture of wood; manufacture of pulp, paper and paperboard; printing",C5,Manufacture of other industrial products,BE,"Mining, quarrying and manufacturing",BE,"Mining, quarrying and manufacturing"
18,Printing and reproduction of recorded media,CC,"Manufacture of wood; manufacture of pulp, paper and paperboard; printing",C5,Manufacture of other industrial products,BE,"Mining, quarrying and manufacturing",BE,"Mining, quarrying and manufacturing"
19,Manufacture of coke and refined petroleum products,CD,Manufacture of coke and refined petroleum products,C2,Manufacture of coke and refined petroleum products,BE,"Mining, quarrying and manufacturing",BE,"Mining, quarrying and manufacturing"
20,Manufacture of chemicals and chemical products,CE,Chemical Industry,C5,Manufacture of other industrial products,BE,"Mining, quarrying and manufacturing",BE,"Mining, quarrying and manufacturing"
21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,CF,"Pharmaceuticals, medical chemical and botanical products",C5,Manufacture of other industrial products,BE,"Mining, quarrying and manufacturing",BE,"Mining, quarrying and manufacturing"
22,Manufacture of rubber and plastic products,CG,"Manufacture of rubber and plastics products, and other non-metallic mineral products",C5,Manufacture of other industrial products,BE,"Mining, quarrying and manufacturing",BE,"Mining, quarrying and manufacturing"
23,Manufacture of other non-metallic mineral products,CG,"Manufacture of rubber and plastics products, and other non-metallic mineral products",C5,Manufacture of other industrial products,BE,"Mining, quarrying and manufacturing",BE,"Mining, quarrying and manufacturing"
24,Manufacture of basic metals,CH,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",C5,Manufacture of other industrial products,BE,"Mining, quarrying and manufacturing",BE,"Mining, quarrying and manufacturing"
25,"Manufacture of fabricated metal products, except machinery and equipment",CH,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",C5,Manufacture of other industrial products,BE,"Mining, quarrying and manufacturing",BE,"Mining, quarrying and manufacturing"
26,"Manufacture of computer, electronic and optical products",CI,"Manufacture of computer, electronic and optical products",C3,"Manufacture of electrical, electronic and computer equipment; manufacture of machinery",BE,"Mining, quarrying and manufacturing",BE,"Mining, quarrying and manufacturing"
27,Manufacture of electrical equipment,CJ,Manufacture of electrical equipment,C3,"Manufacture of electrical, electronic and computer equipment; manufacture of machinery",BE,"Mining, quarrying and manufacturing",BE,"Mining, quarrying and manufacturing"
28,Manufacture of machinery and equipment n.e.c.,CK,Manufacture of machinery and equipment n.e.c.,C3,"Manufacture of electrical, electronic and computer equipment; manufacture of machinery",BE,"Mining, quarrying and manufacturing",BE,"Mining, quarrying and manufacturing"
29,"Manufacture of motor vehicles, trailers and semi-trailers",CL,Manufacture of transport equipment,C4,Manufacture of transport equipment,BE,"Mining, quarrying and manufacturing",BE,"Mining, quarrying and manufacturing"
30,Manufacture of other transport equipment,CL,Manufacture of transport equipment,C4,Manufacture of transport equipment,BE,"Mining, quarrying and manufacturing",BE,"Mining, quarrying and manufacturing"
31,Manufacture of furniture,CM,Other manufacturing; repair and installation of machinery and equipment,C5,Manufacture of other industrial products,BE,"Mining, quarrying and manufacturing",BE,"Mining, quarrying and manufacturing"
