DATAFLOW,LAST UPDATE,freq,citizen,agedef,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:MIGR_EMI1CTZ(1.0),01/07/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DE,2006,639064,,
ESTAT:MIGR_EMI1CTZ(1.0),01/07/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DE,2019,496613,e,
ESTAT:MIGR_EMI1CTZ(1.0),01/07/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DE,2024,584230,e,
ESTAT:MIGR_EMI1CTZ(1.0),01/07/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EU27_2020,2019,2562378,ep,
ESTAT:MIGR_EMI1CTZ(1.0),01/07/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EU27_2020,2024,3166449,ep,
ESTAT:MIGR_EMI1CTZ(1.0),01/07/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,FR,2006,189403,b,
ESTAT:MIGR_EMI1CTZ(1.0),01/07/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,FR,2019,259143,,
ESTAT:MIGR_EMI1CTZ(1.0),01/07/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,FR,2024,263233,p,
ESTAT:MIGR_EMI1CTZ(1.0),01/07/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,UK,2006,369470,,
ESTAT:MIGR_EMI1CTZ(1.0),01/07/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,UK,2019,368385,,
