DATAFLOW,LAST UPDATE,freq,citizen,agedef,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:MIGR_IMM1CTZ(1.0),29/05/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DE,2006,661855,,
ESTAT:MIGR_IMM1CTZ(1.0),29/05/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DE,2019,834338,e,
ESTAT:MIGR_IMM1CTZ(1.0),29/05/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DE,2024,1078504,e,
ESTAT:MIGR_IMM1CTZ(1.0),29/05/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EU27_2020,2019,4206293,bep,
ESTAT:MIGR_IMM1CTZ(1.0),29/05/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,EU27_2020,2024,5684984,ip,
ESTAT:MIGR_IMM1CTZ(1.0),29/05/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,FR,2006,301544,b,
ESTAT:MIGR_IMM1CTZ(1.0),29/05/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,FR,2019,385596,,
ESTAT:MIGR_IMM1CTZ(1.0),29/05/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,FR,2024,438626,p,
ESTAT:MIGR_IMM1CTZ(1.0),29/05/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,UK,2006,529008,,
ESTAT:MIGR_IMM1CTZ(1.0),29/05/26 23:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,UK,2019,680906,,
