DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AL,2019,4900,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AL,2020,4700,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AL,2021,5400,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,AL,2022,6500,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE,2019,43000,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE,2020,42000,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE,2021,44900,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE,2022,48300,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE,2023,50700,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE,2024,51800,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE300,2019,44800,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE300,2020,44700,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE300,2021,48200,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE300,2022,51700,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,DE300,2023,54700,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,ES,2019,26600,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,ES,2020,23900,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,ES,2021,26100,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,ES,2022,28800,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,ES,2023,31000,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,ES,2024,32600,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FR,2019,36100,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FR,2020,34300,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FR,2021,36900,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FR,2022,38900,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FR,2023,41300,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FR,2024,42600,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FR1,2019,59800,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FR1,2020,55100,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FR1,2021,59400,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FR1,2022,63200,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FR1,2023,66800,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FR1,2024,69500,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FR10,2019,59800,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FR10,2020,55100,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FR10,2021,59400,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FR10,2022,63200,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FR10,2023,66800,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FR10,2024,69500,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FR101,2019,109500,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FR101,2020,102000,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FR101,2021,112400,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FR101,2022,123100,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FR101,2023,125300,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FR101,2024,133700,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FR105,2019,106100,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FR105,2020,97800,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FR105,2021,104100,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FR105,2022,107800,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FR105,2023,116100,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FR105,2024,119700,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FRE11,2019,30500,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FRE11,2020,29400,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FRE11,2021,31500,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FRE11,2022,32800,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FRE11,2023,34800,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FRE11,2024,35800,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FRY10,2019,24400,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FRY10,2020,23500,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FRY10,2021,25100,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FRY10,2022,26400,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FRY10,2023,27500,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,FRY10,2024,29100,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,IE051,2019,49300,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,IE051,2020,55100,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,IE051,2021,59400,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,IE051,2022,60600,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,IE051,2023,64200,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,IE051,2024,65100,e,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,IT,2019,30200,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,IT,2020,28100,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,IT,2021,31200,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,IT,2022,33900,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,IT,2023,36300,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,EUR_HAB,IT,2024,37300,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,AL,2019,13917.87,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,AL,2020,13379.53,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,AL,2021,15243.11,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,AL,2022,18068.09,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,AL,2023,21730.48,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,DE,2019,3537280,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,DE,2020,3450720,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,DE,2021,3682340,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,DE,2022,3989390,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,DE,2023,4219310,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,DE,2024,4328970,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,DE300,2019,159813.1,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,DE300,2020,159272.9,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,DE300,2021,171332.94,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,DE300,2022,185782.7,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,DE300,2023,199564.58,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,ES,2019,1253710,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,ES,2020,1129214,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,ES,2021,1235474,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,ES,2022,1375863,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,ES,2023,1497761,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,ES,2024,1594330,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FR,2019,2432206.8,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FR,2020,2318276.2,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FR,2021,2508102.3,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FR,2022,2653997.2,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FR,2023,2826541.5,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FR,2024,2919899.9,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FR1,2019,733175.8,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FR1,2020,677208,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FR1,2021,733601.3,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FR1,2022,783456.8,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FR1,2023,829638.3,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FR1,2024,865652.1,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FR10,2019,733175.8,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FR10,2020,677208,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FR10,2021,733601.3,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FR10,2022,783456.8,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FR10,2023,829638.3,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FR10,2024,865652.1,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FR101,2019,236143.1,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FR101,2020,218238.5,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FR101,2021,240537.1,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FR101,2022,261799,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FR101,2023,264481.2,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FR101,2024,279937.5,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FR105,2019,172479.7,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FR105,2020,159527.7,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FR105,2021,170688.3,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FR105,2022,177508.7,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FR105,2023,191708.7,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FR105,2024,198209.8,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FRE11,2019,79573,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FRE11,2020,76822.1,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FRE11,2021,82483.2,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FRE11,2022,85889.7,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FRE11,2023,91325.6,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FRE11,2024,93775.6,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FRY10,2019,10138.6,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FRY10,2020,9761.5,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FRY10,2021,10469.7,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FRY10,2022,10929.4,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FRY10,2023,11305.6,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FRY10,2024,11878.3,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FRZZZ,2019,961,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FRZZZ,2020,958.9,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FRZZZ,2021,942.7,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FRZZZ,2022,999.3,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FRZZZ,2023,1056.3,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,FRZZZ,2024,1056.3,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,HUZZZ,2019,0,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,HUZZZ,2020,0,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,HUZZZ,2021,0,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,HUZZZ,2022,0,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,HUZZZ,2023,0,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,HUZZZ,2024,0,p,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,IE051,2019,24353.77,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,IE051,2020,27446.77,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,IE051,2021,29779.81,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,IE051,2022,30911.66,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,IE051,2023,33541.84,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,IE051,2024,34782.14,e,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,IT,2019,1804066.8,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,IT,2020,1670011.9,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,IT,2021,1842507.4,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,IT,2022,1998072.6,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,IT,2023,2142601.7,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,MIO_EUR,IT,2024,2199619.4,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,AL,2019,9600,,
ESTAT:NAMA_10R_3GDP(1.0),10/02/26 11:00:00,A,PPS_EU27_2020_HAB,AL,2020,9300,,
