STRUCTURE,STRUCTURE_ID,ACTION,REF_AREA: Reference area,MEASURE: Measure,UNIT_MEASURE: Unit of measure,TRANSFORMATION: Transformation,ADJUSTMENT: Adjustment,SEX: Sex,AGE: Age,ACTIVITY: Economic activity,FREQ: Frequency of observation,TIME_PERIOD: Time period,OBS_VALUE: Observation value,BASE_PER: Base period,OBS_STATUS: Observation status,UNIT_MULT: Unit multiplier,DECIMALS: Decimals
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_LF_WAP_Q(1.0),I,CAN: Canada,LF_WAP: Labour force participation rate,PT_WAP_SUB: Percentage of working age population in the same subgroup,_Z: Not applicable,Y: Calendar and seasonally adjusted,F: Female,Y_GE15: 15 years or over,_Z: Not applicable,Q: Quarterly,2025-Q3,60.86666,,A: Normal value,0: Units,1: One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_LF_WAP_Q(1.0),I,CAN: Canada,LF_WAP: Labour force participation rate,PT_WAP_SUB: Percentage of working age population in the same subgroup,_Z: Not applicable,Y: Calendar and seasonally adjusted,F: Female,Y_GE15: 15 years or over,_Z: Not applicable,Q: Quarterly,2025-Q4,61.1,,A: Normal value,0: Units,1: One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_LF_WAP_Q(1.0),I,CAN: Canada,LF_WAP: Labour force participation rate,PT_WAP_SUB: Percentage of working age population in the same subgroup,_Z: Not applicable,Y: Calendar and seasonally adjusted,F: Female,Y_GE15: 15 years or over,_Z: Not applicable,Q: Quarterly,2026-Q1,60.96667,,A: Normal value,0: Units,1: One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_LF_WAP_Q(1.0),I,NZL: New Zealand,LF_WAP: Labour force participation rate,PT_WAP_SUB: Percentage of working age population in the same subgroup,_Z: Not applicable,Y: Calendar and seasonally adjusted,F: Female,Y_GE15: 15 years or over,_Z: Not applicable,Q: Quarterly,2025-Q3,66.2,,A: Normal value,0: Units,1: One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_LF_WAP_Q(1.0),I,NZL: New Zealand,LF_WAP: Labour force participation rate,PT_WAP_SUB: Percentage of working age population in the same subgroup,_Z: Not applicable,Y: Calendar and seasonally adjusted,F: Female,Y_GE15: 15 years or over,_Z: Not applicable,Q: Quarterly,2025-Q4,66.9,,A: Normal value,0: Units,1: One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_LF_WAP_Q(1.0),I,NZL: New Zealand,LF_WAP: Labour force participation rate,PT_WAP_SUB: Percentage of working age population in the same subgroup,_Z: Not applicable,Y: Calendar and seasonally adjusted,F: Female,Y_GE15: 15 years or over,_Z: Not applicable,Q: Quarterly,2026-Q1,66.6,,A: Normal value,0: Units,1: One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_LF_WAP_Q(1.0),I,ITA: Italy,LF_WAP: Labour force participation rate,PT_WAP_SUB: Percentage of working age population in the same subgroup,_Z: Not applicable,Y: Calendar and seasonally adjusted,F: Female,Y_GE15: 15 years or over,_Z: Not applicable,Q: Quarterly,2025-Q3,41.56446,,A: Normal value,0: Units,1: One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_LF_WAP_Q(1.0),I,ITA: Italy,LF_WAP: Labour force participation rate,PT_WAP_SUB: Percentage of working age population in the same subgroup,_Z: Not applicable,Y: Calendar and seasonally adjusted,F: Female,Y_GE15: 15 years or over,_Z: Not applicable,Q: Quarterly,2025-Q4,41.16566,,A: Normal value,0: Units,1: One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_LF_WAP_Q(1.0),I,ITA: Italy,LF_WAP: Labour force participation rate,PT_WAP_SUB: Percentage of working age population in the same subgroup,_Z: Not applicable,Y: Calendar and seasonally adjusted,F: Female,Y_GE15: 15 years or over,_Z: Not applicable,Q: Quarterly,2026-Q1,41.26935,,A: Normal value,0: Units,1: One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_LF_WAP_Q(1.0),I,PRT: Portugal,LF_WAP: Labour force participation rate,PT_WAP_SUB: Percentage of working age population in the same subgroup,_Z: Not applicable,Y: Calendar and seasonally adjusted,F: Female,Y_GE15: 15 years or over,_Z: Not applicable,Q: Quarterly,2025-Q3,56.00505,,A: Normal value,0: Units,1: One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_LF_WAP_Q(1.0),I,PRT: Portugal,LF_WAP: Labour force participation rate,PT_WAP_SUB: Percentage of working age population in the same subgroup,_Z: Not applicable,Y: Calendar and seasonally adjusted,F: Female,Y_GE15: 15 years or over,_Z: Not applicable,Q: Quarterly,2025-Q4,56.04379,,A: Normal value,0: Units,1: One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_LF_WAP_Q(1.0),I,PRT: Portugal,LF_WAP: Labour force participation rate,PT_WAP_SUB: Percentage of working age population in the same subgroup,_Z: Not applicable,Y: Calendar and seasonally adjusted,F: Female,Y_GE15: 15 years or over,_Z: Not applicable,Q: Quarterly,2026-Q1,55.9401,,A: Normal value,0: Units,1: One
