STRUCTURE,STRUCTURE_ID,ACTION,REF_AREA: Reference area,MEASURE: Measure,UNIT_MEASURE: Unit of measure,TRANSFORMATION: Transformation,ADJUSTMENT: Adjustment,SEX: Sex,AGE: Age,ACTIVITY: Economic activity,FREQ: Frequency of observation,TIME_PERIOD: Time period,OBS_VALUE: Observation value,BASE_PER: Base period,OBS_STATUS: Observation status,UNIT_MULT: Unit multiplier,DECIMALS: Decimals
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_M(1.0),I,TUR: Türkiye,UNE_LF_M: Monthly unemployment rate,PT_LF_SUB: Percentage of labour force in the same subgroup,_Z: Not applicable,Y: Calendar and seasonally adjusted,_T: Total,Y_GE15: 15 years or over,_Z: Not applicable,M: Monthly,2026-03,8.1,,A: Normal value,0: Units,1: One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_M(1.0),I,SVN: Slovenia,UNE_LF_M: Monthly unemployment rate,PT_LF_SUB: Percentage of labour force in the same subgroup,_Z: Not applicable,Y: Calendar and seasonally adjusted,_T: Total,Y_GE15: 15 years or over,_Z: Not applicable,M: Monthly,2026-04,4.1,,A: Normal value,0: Units,1: One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_M(1.0),I,SVK: Slovak Republic,UNE_LF_M: Monthly unemployment rate,PT_LF_SUB: Percentage of labour force in the same subgroup,_Z: Not applicable,Y: Calendar and seasonally adjusted,_T: Total,Y_GE15: 15 years or over,_Z: Not applicable,M: Monthly,2026-03,5.8,,A: Normal value,0: Units,1: One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_M(1.0),I,SVK: Slovak Republic,UNE_LF_M: Monthly unemployment rate,PT_LF_SUB: Percentage of labour force in the same subgroup,_Z: Not applicable,Y: Calendar and seasonally adjusted,_T: Total,Y_GE15: 15 years or over,_Z: Not applicable,M: Monthly,2026-04,5.8,,A: Normal value,0: Units,1: One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_M(1.0),I,LTU: Lithuania,UNE_LF_M: Monthly unemployment rate,PT_LF_SUB: Percentage of labour force in the same subgroup,_Z: Not applicable,Y: Calendar and seasonally adjusted,_T: Total,Y_GE15: 15 years or over,_Z: Not applicable,M: Monthly,2026-03,7,,A: Normal value,0: Units,1: One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_M(1.0),I,ROU: Romania,UNE_LF_M: Monthly unemployment rate,PT_LF_SUB: Percentage of labour force in the same subgroup,_Z: Not applicable,Y: Calendar and seasonally adjusted,_T: Total,Y_GE15: 15 years or over,_Z: Not applicable,M: Monthly,2026-03,6.5,,A: Normal value,0: Units,1: One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_M(1.0),I,FIN: Finland,UNE_LF_M: Monthly unemployment rate,PT_LF_SUB: Percentage of labour force in the same subgroup,_Z: Not applicable,Y: Calendar and seasonally adjusted,_T: Total,Y_GE15: 15 years or over,_Z: Not applicable,M: Monthly,2026-03,10.5,,A: Normal value,0: Units,1: One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_M(1.0),I,PRT: Portugal,UNE_LF_M: Monthly unemployment rate,PT_LF_SUB: Percentage of labour force in the same subgroup,_Z: Not applicable,Y: Calendar and seasonally adjusted,_T: Total,Y_GE15: 15 years or over,_Z: Not applicable,M: Monthly,2026-04,5.7,,A: Normal value,0: Units,1: One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_M(1.0),I,HUN: Hungary,UNE_LF_M: Monthly unemployment rate,PT_LF_SUB: Percentage of labour force in the same subgroup,_Z: Not applicable,Y: Calendar and seasonally adjusted,_T: Total,Y_GE15: 15 years or over,_Z: Not applicable,M: Monthly,2026-03,4.4,,A: Normal value,0: Units,1: One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_UNE_M(1.0),I,HUN: Hungary,UNE_LF_M: Monthly unemployment rate,PT_LF_SUB: Percentage of labour force in the same subgroup,_Z: Not applicable,Y: Calendar and seasonally adjusted,_T: Total,Y_GE15: 15 years or over,_Z: Not applicable,M: Monthly,2026-04,4.6,,A: Normal value,0: Units,1: One
